type	identifier	digest	signature	sig_method	tlog_timestamp	created_at
release	v0.29.0	18f2510ee396bbf400402947b394f2dd8c87dbb0	-			2026-03-20T06:07:34Z
release	v0.3.0	4b9b6fb4ef28b31450391a93ade098bb00de584e	-			2026-03-20T06:05:11Z
release	v0.30.0	6c175e9c4083a92bbca2f9724c8a5e33bc2d97a5	-			2026-03-20T06:07:38Z
release	v0.31.0	76071ef0d7ec797419534a183b498b4d6366cf37	-			2026-03-20T06:07:43Z
release	v0.32.0	dc5a429b52fcf669ce959baa2c2dd26090d2a6c4	-			2026-03-20T06:07:47Z
release	v0.33.0	f9424c10c36e288d5fa79bd3dfd1aeb2d6eae808	-			2026-03-20T06:07:51Z
release	v0.33.1	b6643a29fecd7f34b3597bc6acb0a98b03d33ff8	-			2026-03-20T06:07:55Z
release	v0.34.0	c1824fd6edce30d7ab345a9989de00bbd46ef284	-			2026-03-20T05:46:07Z
release	v0.35.0	57a97c7e7821a5776cebc9bb87c984fa69cba8f1	-			2026-03-20T07:12:10Z
release	v0.36.0	ed142fd0673e97e23eac54620cfb913e5ce36c25	-			2026-04-22T09:39:33Z
release	v0.4.0	2b22459068a4bb8c90967a22dc6aea5a617427b2	-			2026-03-20T06:05:15Z
release	v0.4.1	49e970d7ac7539dfcc6ddba87b22ddd9b7377540	-			2026-03-20T06:05:19Z
release	v0.5.0	7b7aa264d83dc58691451798b4d117d53d21edfe	-			2026-03-20T06:05:23Z
release	v0.5.1	0105373003c89c494a3f436bd5efc57f3ac1ca20	-			2026-03-20T06:05:26Z
release	v0.6.0	503d3abc15463af68b817d685982721f134256a5	-			2026-03-20T06:05:30Z
release	v0.6.1	81b9a6f5abb1047d697af7a3ca18c13f55a97315	-			2026-03-20T06:05:34Z
release	v0.6.2	cb606dfdb0d2b3698ace62192088ef4f5360b24f	-			2026-03-20T06:05:38Z
release	v0.7.0	1db49f532692e649dc5dc43c7c0444dac4790137	-			2026-03-20T06:05:42Z
release	v0.7.1	d63413b0a4a4482237085319f7f4a1ce99a8f2ac	-			2026-03-20T06:05:45Z
release	v0.8.0	9ab158e8597f3b310480b9a69402b419bc03dbd5	-			2026-03-20T06:05:49Z
release	v0.9.0	cff3e9a7f62c41dd51975266d0ae235709e39c41	-			2026-03-20T06:05:54Z
release	v0.9.1	8bd2f9fbda2109502356ff8a6a89da55b1ead252	-			2026-03-20T06:05:57Z
release	v0.9.2	1f0aa582c8c8f5f7639610d6d38baddfea4fdcee	-			2026-03-20T06:06:01Z
tag	0.35.0	57a97c7e7821a5776cebc9bb87c984fa69cba8f1	-			-
tag	v0.0.1	1a6fec9b145c9fef6dd2ff0712cedde272febadc	-			-
tag	v0.0.11	f5e208a156392ee19cad188ecb4819501dde005f	-			-
tag	v0.0.12	c6431cf821072224b4ce4357b182721074a8e313	-			-
tag	v0.0.13	e2054f8b6a198eae9abb3562bdb43bdd8cafd24f	-			-
tag	v0.0.14	b38389f8efef9798810fe0c5b5096ac198cffd54	-			-
tag	v0.0.15	341f810bd602419f966a081da3f4debedc3e5c8e	-			-
tag	v0.0.16	9789b6ae3b29487541292242e416cd89e4e54874	-			-
tag	v0.0.17	dba83feec810c70bacbc4bead308ae1e466c572b	-			-
tag	v0.0.18	ac8de07fd168680dd0331bef43681c0e150e9ad1	-			-
tag	v0.0.19	9438b49cc3156b2e8c77c1ba8ffbaa3bae24e3c2	-			-
tag	v0.0.2	1ca910e62d608a16f4c83cb379005547d08649f2	-			-
tag	v0.0.20	8eccb5539730451af599c84f444c6d6cf0fc2bb0	-			-
tag	v0.0.21	d62898dfb3e9cadb919e8119e4a096197174fd64	-			-
tag	v0.0.22	1ccef265f594a7555a720f623a461a3d69b45bf7	-			-
tag	v0.0.3	677942f9f7d701e8afb3431dcf5f71e766a3709e	-			-
tag	v0.0.4	7991a6958332e09736ebd8875b8a6cccd1de8d08	-			-
tag	v0.0.5	248a0c40b93ed90d488b11e12ee54731f7abf7b6	-			-
tag	v0.0.6	e09a3cf5ca098b4d78c9e0379702eaae7a207826	-			-
tag	v0.0.7	f498173417e692845cf32bda7071ce9baa3e109e	-			-
tag	v0.0.8	2b5de510862c22b735aa586acbafe850cfe75148	-			-
tag	v0.0.9	7294c6a40848e986221c11460945f099a67bbe37	-			-
tag	v0.1.0	2a2157eb22c08c9a1fac99263430307b8d1bc7a2	-			-
tag	v0.10.0	e5f43133f6e8736992c9f3c1b3296e24b37e17f2	-			-
tag	v0.11.0	b43daad0c3c96202fc5800b511dfae8e6ecce864	-			-
tag	v0.11.1	0cd397afbfae6b60e8061fda662f3511aa5d054e	-			-
tag	v0.11.2	41f05d9ecffa2ed3f1580af306000f734b733e54	-			-
tag	v0.12.0	fbd16365eb88e12433951383f5e99bd901fc618f	-			-
tag	v0.13.0	b77b85c0254bba6789e787844f0585cde1e56320	-			-
tag	v0.13.1	f78e9ecf42a1271402d4f484518b9313235990e1	-			-
tag	v0.14.0	2b6a709cf9c4025c5438138008beaddbb02086f0	-			-
tag	v0.15.0	22d2755f774d925b191a185b74e782a4b0638a41	-			-
tag	v0.16.0	91713af97dc80187565512baba96e4364e983601	-			-
tag	v0.16.1	d43c1f16c00cfd3978dde6c07f4bbcf9eb6993ca	-			-
tag	v0.17.0	84384bd6e777ef152729993b8145ea352e9dd3ef	-			-
tag	v0.18.0	062f2592684a31eb3aa050cc61e7ca1451cecd3d	-			-
tag	v0.19.0	d710430a6722f083d3b36b8339ff66b32f22ee55	-			-
tag	v0.2.0	0769bbf0d2a77b3c15b3b57fbcdd2edd25a1c3f0	-			-
tag	v0.2.1	8f4c7160b470bafe4299efdc1c8a1fb495f8325a	-			-
tag	v0.2.2	a7a829a4345428ddd92ca57b18257440f6a18c90	-			-
tag	v0.2.3	40c4ca9e7421287d0c5576712fdff370978f9c3c	-			-
tag	v0.2.4	d7a51817e8b3f162f53042add238ac1dcc7a8144	-			-
tag	v0.2.5	2b30463ddb3d11724a04e760e020c7d9af24d8b3	-			-
tag	v0.20.0	b2933f565dbc598b29947660e66259e3c7bc8561	-			-
tag	v0.21.0	fd25fed6972e341ff0007ddb61f77e88103953c2	-			-
tag	v0.22.0	595be6a0f6560a0a8fc419ddf630567fc623531d	-			-
tag	v0.23.0	7c2007bcb556501da015201bcba5aa14069b74e2	-			-
tag	v0.24.0	6e7b7d1fd3e4fef0c5fa8cce1229c54b2c9bd0d8	-			-
tag	v0.25.0	f781cce5aab226378ee181d764ab90ea0be3cdd8	-			-
tag	v0.26.0	a20de5420d57c4102486cdd9578b45609c99d7eb	-			-
tag	v0.27.0	5681af892cd0f4997658e2bacc62bd0a894cf564	-			-
tag	v0.28.0	915b19bbe73b92a6cf82a1bc12b087c9a19a5fe2	-			-
tag	v0.29.0	18f2510ee396bbf400402947b394f2dd8c87dbb0	-			-
tag	v0.3.0	4b9b6fb4ef28b31450391a93ade098bb00de584e	-			-
tag	v0.30.0	6c175e9c4083a92bbca2f9724c8a5e33bc2d97a5	-			-
tag	v0.31.0	76071ef0d7ec797419534a183b498b4d6366cf37	-			-
tag	v0.32.0	dc5a429b52fcf669ce959baa2c2dd26090d2a6c4	-			-
tag	v0.33.0	f9424c10c36e288d5fa79bd3dfd1aeb2d6eae808	-			-
tag	v0.33.1	b6643a29fecd7f34b3597bc6acb0a98b03d33ff8	-			-
tag	v0.34.0	c1824fd6edce30d7ab345a9989de00bbd46ef284	-			-
tag	v0.35.0	57a97c7e7821a5776cebc9bb87c984fa69cba8f1	-			-
